query,function_call
Mình cần tạo mới một chấm công.,"add(departments='accountant', content='attendance', id='attendance_651', type_of_time='month', specific_time='2025-06-01')"
Bạn kiểm tra giúp tôi nghỉ phép nhé tháng 5 năm nay.,"get(departments='finance', content='leave_request', id='leave_request_249', type_of_time='month', specific_time='2025-06-01')"
Tôi muốn xóa nhân viên.,"delete(departments='employee', content='employee', id='employee_279', type_of_time='range', specific_time='2025-06-07 to 2025-06-11')"
So sánh các dự án giúp tôi với năm nay.,"compare(departments='manager', content='project', id='project_453', type_of_time='year', specific_time='2025-01-01')"
Tôi muốn biết dự báo về hiệu suất từ đầu tháng đến nay.,"predict(departments='employee', content='performance', id='performance_124', type_of_time='range', specific_time='2025-06-09 to 2025-06-21')"
Mình cần tạo mới một dự án.,"add(departments='accountant', content='project', id='project_345', type_of_time='day', specific_time='2025-03-18')"
Tôi cần tra cứu dự án ba tháng gần đây.,"get(departments='hr', content='project', id='project_736', type_of_time='range', specific_time='2025-05-24 to 2025-06-20')"
Bạn có thể xóa hóa đơn giùm tôi không?,"delete(departments='manager', content='invoice', id='invoice_591', type_of_time='day', specific_time='2024-08-30')"
So sánh các nghỉ phép giúp tôi với hai tuần qua.,"compare(departments='hr', content='leave_request', id='leave_request_931', type_of_time='range', specific_time='2025-05-25 to 2025-06-19')"
Bạn có thể cho biết dự đoán của nhiệm vụ không? năm 2025.,"predict(departments='finance', content='task', id='task_891', type_of_time='year', specific_time='2025-01-01')"
Làm ơn thêm một nghỉ phép mới giúp tôi.,"add(departments='accountant', content='leave_request', id='leave_request_924', type_of_time='month', specific_time='2025-06-01')"
Tôi cần tra cứu hiệu suất năm ngoái.,"get(departments='employee', content='performance', id='performance_971', type_of_time='year', specific_time='2025-01-01')"
Làm ơn gỡ bỏ nhân viên này giúp tôi.,"delete(departments='finance', content='employee', id='employee_811', type_of_time='range', specific_time='2025-05-13 to 2025-05-18')"
Bạn giúp tôi so sánh các hóa đơn này nhé tháng 12 năm ngoái.,"compare(departments='accountant', content='invoice', id='invoice_792', type_of_time='month', specific_time='2025-06-01')"
Bạn có thể cho biết dự đoán của hiệu suất không? từ đầu tháng đến nay.,"predict(departments='manager', content='performance', id='performance_965', type_of_time='range', specific_time='2025-05-27 to 2025-05-30')"
Làm ơn thêm một nhiệm vụ mới giúp tôi.,"add(departments='hr', content='task', id='task_31', type_of_time='year', specific_time='2025-01-01')"
Tôi muốn xem thông tin hiệu suất tháng 6.,"get(departments='manager', content='performance', id='performance_344', type_of_time='month', specific_time='2025-06-01')"
Làm ơn gỡ bỏ hóa đơn này giúp tôi.,"delete(departments='finance', content='invoice', id='invoice_207', type_of_time='day', specific_time='2024-06-10')"
So sánh các hóa đơn giúp tôi với ba tháng gần đây.,"compare(departments='manager', content='invoice', id='invoice_20', type_of_time='range', specific_time='2025-06-07 to 2025-07-05')"
Cho tôi dự đoán về chấm công tháng 5 năm nay.,"predict(departments='employee', content='attendance', id='attendance_439', type_of_time='month', specific_time='2025-06-01')"
Tôi muốn thêm hiệu suất.,"add(departments='employee', content='performance', id='performance_487', type_of_time='year', specific_time='2025-01-01')"
Mình muốn biết tình hình báo cáo ngày mai.,"get(departments='hr', content='report', id='report_654', type_of_time='day', specific_time='2025-01-07')"
Tôi muốn xóa nhiệm vụ.,"delete(departments='employee', content='task', id='task_566', type_of_time='range', specific_time='2025-05-23 to 2025-06-21')"
Tôi muốn đối chiếu nghỉ phép tháng 12 năm ngoái.,"compare(departments='employee', content='leave_request', id='leave_request_737', type_of_time='month', specific_time='2025-06-01')"
Bạn có thể cho biết dự đoán của nhiệm vụ không? hôm nay.,"predict(departments='employee', content='task', id='task_652', type_of_time='day', specific_time='2025-04-20')"
Tôi muốn đăng ký nhân viên.,"add(departments='employee', content='employee', id='employee_548', type_of_time='day', specific_time='2024-09-07')"
Tôi cần tra cứu nhiệm vụ tháng 12 năm ngoái.,"get(departments='hr', content='task', id='task_179', type_of_time='month', specific_time='2025-06-01')"
Tôi cần hủy nghỉ phép.,"delete(departments='hr', content='leave_request', id='leave_request_743', type_of_time='range', specific_time='2025-05-19 to 2025-06-01')"
Tôi muốn đối chiếu nghỉ phép hôm nay.,"compare(departments='finance', content='leave_request', id='leave_request_495', type_of_time='day', specific_time='2025-04-08')"
Bạn có thể dự đoán hiệu suất giúp tôi không? ngày 15 tháng 5.,"predict(departments='finance', content='performance', id='performance_371', type_of_time='day', specific_time='2024-11-18')"
Làm ơn thêm một hiệu suất mới giúp tôi.,"add(departments='employee', content='performance', id='performance_868', type_of_time='month', specific_time='2025-06-01')"
Tôi muốn xem thông tin nhân viên ngày 15 tháng 5.,"get(departments='employee', content='employee', id='employee_713', type_of_time='day', specific_time='2024-11-17')"
Tôi muốn xóa hóa đơn.,"delete(departments='employee', content='invoice', id='invoice_212', type_of_time='month', specific_time='2025-06-01')"
Tôi muốn biết sự khác biệt giữa các nhân viên ngày 15 tháng 5.,"compare(departments='employee', content='employee', id='employee_293', type_of_time='day', specific_time='2024-06-20')"
Bạn có thể dự đoán dự án giúp tôi không? hôm qua.,"predict(departments='finance', content='project', id='project_508', type_of_time='day', specific_time='2025-03-08')"
Tôi muốn thêm chấm công.,"add(departments='hr', content='attendance', id='attendance_955', type_of_time='month', specific_time='2025-06-01')"
Cho tôi biết về hiệu suất được không? tháng 12 năm ngoái.,"get(departments='manager', content='performance', id='performance_423', type_of_time='month', specific_time='2025-06-01')"
Tôi muốn xóa dự án.,"delete(departments='hr', content='project', id='project_743', type_of_time='year', specific_time='2025-01-01')"
Tôi muốn biết sự khác biệt giữa các nhiệm vụ tháng 12 năm ngoái.,"compare(departments='manager', content='task', id='task_33', type_of_time='month', specific_time='2025-06-01')"
Tôi muốn biết dự báo về chấm công ngày mai.,"predict(departments='hr', content='attendance', id='attendance_89', type_of_time='day', specific_time='2024-12-02')"
Bạn có thể giúp tôi thêm dự án không?,"add(departments='manager', content='project', id='project_110', type_of_time='month', specific_time='2025-06-01')"
Cho tôi biết về chấm công được không? tháng 5 năm nay.,"get(departments='manager', content='attendance', id='attendance_316', type_of_time='month', specific_time='2025-06-01')"
Tôi muốn xóa nhân viên.,"delete(departments='manager', content='employee', id='employee_276', type_of_time='day', specific_time='2024-08-30')"
Mình cần so sánh tình trạng nhiệm vụ ba tháng gần đây.,"compare(departments='manager', content='task', id='task_543', type_of_time='range', specific_time='2025-05-28 to 2025-06-27')"
Cho tôi dự đoán về nhiệm vụ hôm nay.,"predict(departments='employee', content='task', id='task_475', type_of_time='day', specific_time='2025-05-01')"
Mình cần tạo mới một hóa đơn.,"add(departments='accountant', content='invoice', id='invoice_133', type_of_time='year', specific_time='2025-01-01')"
Bạn kiểm tra giúp tôi hiệu suất nhé năm tới.,"get(departments='manager', content='performance', id='performance_209', type_of_time='year', specific_time='2025-01-01')"
Làm ơn gỡ bỏ nghỉ phép này giúp tôi.,"delete(departments='hr', content='leave_request', id='leave_request_653', type_of_time='day', specific_time='2024-11-25')"
Bạn giúp tôi so sánh các nghỉ phép này nhé tháng 5 năm nay.,"compare(departments='finance', content='leave_request', id='leave_request_890', type_of_time='month', specific_time='2025-06-01')"
Bạn có thể cho biết dự đoán của dự án không? tháng 5 năm nay.,"predict(departments='hr', content='project', id='project_634', type_of_time='month', specific_time='2025-06-01')"
Tôi muốn đăng ký nhân viên.,"add(departments='finance', content='employee', id='employee_328', type_of_time='month', specific_time='2025-06-01')"
Bạn kiểm tra giúp tôi hiệu suất nhé tháng 6.,"get(departments='employee', content='performance', id='performance_349', type_of_time='month', specific_time='2025-06-01')"
Tôi muốn xóa nhân viên.,"delete(departments='accountant', content='employee', id='employee_900', type_of_time='year', specific_time='2025-01-01')"
So sánh các báo cáo giúp tôi với năm ngoái.,"compare(departments='manager', content='report', id='report_680', type_of_time='year', specific_time='2025-01-01')"
Cho tôi dự đoán về nhiệm vụ từ đầu tháng đến nay.,"predict(departments='employee', content='task', id='task_582', type_of_time='range', specific_time='2025-05-27 to 2025-06-22')"
Làm ơn thêm một nhiệm vụ mới giúp tôi.,"add(departments='employee', content='task', id='task_323', type_of_time='month', specific_time='2025-06-01')"
Bạn kiểm tra giúp tôi hiệu suất nhé ngày 1 tháng 6.,"get(departments='accountant', content='performance', id='performance_864', type_of_time='day', specific_time='2024-12-19')"
Mình muốn loại bỏ hóa đơn khỏi hệ thống.,"delete(departments='hr', content='invoice', id='invoice_658', type_of_time='month', specific_time='2025-06-01')"
Tôi muốn biết sự khác biệt giữa các hóa đơn ngày 1 tháng 6.,"compare(departments='accountant', content='invoice', id='invoice_262', type_of_time='day', specific_time='2024-11-05')"
Mình cần ước tính nghỉ phép trong thời gian tới ngày 15 tháng 5.,"predict(departments='employee', content='leave_request', id='leave_request_894', type_of_time='day', specific_time='2024-08-23')"
Tôi muốn thêm nghỉ phép.,"add(departments='accountant', content='leave_request', id='leave_request_350', type_of_time='year', specific_time='2025-01-01')"
Bạn kiểm tra giúp tôi báo cáo nhé ngày mai.,"get(departments='hr', content='report', id='report_811', type_of_time='day', specific_time='2025-05-18')"
Mình muốn loại bỏ nghỉ phép khỏi hệ thống.,"delete(departments='manager', content='leave_request', id='leave_request_106', type_of_time='year', specific_time='2025-01-01')"
Tôi muốn biết sự khác biệt giữa các nghỉ phép năm nay.,"compare(departments='manager', content='leave_request', id='leave_request_189', type_of_time='year', specific_time='2025-01-01')"
Tôi muốn biết dự báo về hóa đơn hôm qua.,"predict(departments='hr', content='invoice', id='invoice_123', type_of_time='day', specific_time='2024-10-14')"
Làm ơn thêm một dự án mới giúp tôi.,"add(departments='accountant', content='project', id='project_152', type_of_time='month', specific_time='2025-06-01')"
Tôi muốn xem thông tin nhiệm vụ năm 2024.,"get(departments='finance', content='task', id='task_219', type_of_time='year', specific_time='2025-01-01')"
Tôi muốn xóa hiệu suất.,"delete(departments='finance', content='performance', id='performance_877', type_of_time='day', specific_time='2025-04-18')"
Bạn giúp tôi so sánh các hiệu suất này nhé tháng này.,"compare(departments='finance', content='performance', id='performance_286', type_of_time='month', specific_time='2025-06-01')"
Bạn có thể cho biết dự đoán của nhiệm vụ không? trong quý trước.,"predict(departments='accountant', content='task', id='task_386', type_of_time='range', specific_time='2025-05-13 to 2025-05-17')"
Bạn có thể giúp tôi thêm hóa đơn không?,"add(departments='finance', content='invoice', id='invoice_278', type_of_time='year', specific_time='2025-01-01')"
Cho tôi biết về hiệu suất được không? tháng 12 năm ngoái.,"get(departments='finance', content='performance', id='performance_571', type_of_time='month', specific_time='2025-06-01')"
Tôi cần hủy chấm công.,"delete(departments='finance', content='attendance', id='attendance_553', type_of_time='range', specific_time='2025-05-18 to 2025-05-31')"
So sánh các nhiệm vụ giúp tôi với ngày mai.,"compare(departments='manager', content='task', id='task_503', type_of_time='day', specific_time='2025-05-20')"
Tôi muốn biết dự báo về hóa đơn hôm qua.,"predict(departments='manager', content='invoice', id='invoice_514', type_of_time='day', specific_time='2025-06-03')"
Tôi muốn thêm chấm công.,"add(departments='manager', content='attendance', id='attendance_27', type_of_time='year', specific_time='2025-01-01')"
Bạn kiểm tra giúp tôi dự án nhé từ đầu tháng đến nay.,"get(departments='hr', content='project', id='project_232', type_of_time='range', specific_time='2025-05-25 to 2025-06-09')"
Làm ơn gỡ bỏ hiệu suất này giúp tôi.,"delete(departments='accountant', content='performance', id='performance_234', type_of_time='day', specific_time='2025-01-08')"
Mình cần so sánh tình trạng hóa đơn năm tới.,"compare(departments='hr', content='invoice', id='invoice_931', type_of_time='year', specific_time='2025-01-01')"
Mình cần ước tính báo cáo trong thời gian tới ngày mai.,"predict(departments='manager', content='report', id='report_397', type_of_time='day', specific_time='2024-07-19')"
Làm ơn thêm một nhân viên mới giúp tôi.,"add(departments='accountant', content='employee', id='employee_231', type_of_time='day', specific_time='2024-11-13')"
Tôi muốn xem thông tin báo cáo ba tháng gần đây.,"get(departments='accountant', content='report', id='report_715', type_of_time='range', specific_time='2025-05-23 to 2025-06-07')"
Làm ơn gỡ bỏ nhiệm vụ này giúp tôi.,"delete(departments='accountant', content='task', id='task_593', type_of_time='year', specific_time='2025-01-01')"
Bạn giúp tôi so sánh các hiệu suất này nhé tháng trước.,"compare(departments='accountant', content='performance', id='performance_877', type_of_time='month', specific_time='2025-06-01')"
Mình cần ước tính hóa đơn trong thời gian tới ngày 15 tháng 5.,"predict(departments='finance', content='invoice', id='invoice_272', type_of_time='day', specific_time='2024-11-27')"
Làm ơn thêm một nhân viên mới giúp tôi.,"add(departments='hr', content='employee', id='employee_869', type_of_time='year', specific_time='2025-01-01')"
Mình muốn biết tình hình nhân viên hôm qua.,"get(departments='employee', content='employee', id='employee_981', type_of_time='day', specific_time='2024-10-15')"
Tôi cần hủy báo cáo.,"delete(departments='employee', content='report', id='report_268', type_of_time='year', specific_time='2025-01-01')"
Tôi muốn biết sự khác biệt giữa các dự án từ đầu tháng đến nay.,"compare(departments='manager', content='project', id='project_139', type_of_time='range', specific_time='2025-06-05 to 2025-06-08')"
Mình cần ước tính dự án trong thời gian tới hôm nay.,"predict(departments='finance', content='project', id='project_953', type_of_time='day', specific_time='2024-06-19')"
Tôi muốn đăng ký nghỉ phép.,"add(departments='employee', content='leave_request', id='leave_request_546', type_of_time='range', specific_time='2025-06-03 to 2025-06-20')"
Tôi cần tra cứu báo cáo từ đầu tháng đến nay.,"get(departments='finance', content='report', id='report_686', type_of_time='range', specific_time='2025-05-14 to 2025-06-10')"
Tôi cần hủy báo cáo.,"delete(departments='finance', content='report', id='report_372', type_of_time='month', specific_time='2025-06-01')"
So sánh các báo cáo giúp tôi với ngày 15 tháng 5.,"compare(departments='finance', content='report', id='report_927', type_of_time='day', specific_time='2025-06-02')"
Tôi muốn biết dự báo về nhiệm vụ năm ngoái.,"predict(departments='hr', content='task', id='task_795', type_of_time='year', specific_time='2025-01-01')"
Tôi muốn đăng ký nhiệm vụ.,"add(departments='employee', content='task', id='task_697', type_of_time='year', specific_time='2025-01-01')"
Mình muốn biết tình hình hiệu suất hôm qua.,"get(departments='finance', content='performance', id='performance_36', type_of_time='day', specific_time='2025-02-25')"
Làm ơn gỡ bỏ chấm công này giúp tôi.,"delete(departments='employee', content='attendance', id='attendance_962', type_of_time='range', specific_time='2025-05-24 to 2025-05-26')"
Tôi muốn biết sự khác biệt giữa các chấm công năm 2025.,"compare(departments='accountant', content='attendance', id='attendance_599', type_of_time='year', specific_time='2025-01-01')"
Cho tôi dự đoán về chấm công tháng trước.,"predict(departments='employee', content='attendance', id='attendance_703', type_of_time='month', specific_time='2025-06-01')"
Bạn có thể giúp tôi thêm nghỉ phép không?,"add(departments='hr', content='leave_request', id='leave_request_74', type_of_time='day', specific_time='2024-09-05')"
Cho tôi biết về dự án được không? hai tuần qua.,"get(departments='employee', content='project', id='project_971', type_of_time='range', specific_time='2025-05-15 to 2025-06-10')"
Bạn có thể xóa hóa đơn giùm tôi không?,"delete(departments='hr', content='invoice', id='invoice_808', type_of_time='year', specific_time='2025-01-01')"
Tôi muốn biết sự khác biệt giữa các hóa đơn năm 2025.,"compare(departments='accountant', content='invoice', id='invoice_237', type_of_time='year', specific_time='2025-01-01')"
Mình cần ước tính chấm công trong thời gian tới năm nay.,"predict(departments='accountant', content='attendance', id='attendance_559', type_of_time='year', specific_time='2025-01-01')"
Mình cần tạo mới một chấm công.,"add(departments='hr', content='attendance', id='attendance_939', type_of_time='year', specific_time='2025-01-01')"
Tôi cần tra cứu dự án năm tới.,"get(departments='hr', content='project', id='project_330', type_of_time='year', specific_time='2025-01-01')"
Bạn có thể xóa hóa đơn giùm tôi không?,"delete(departments='manager', content='invoice', id='invoice_229', type_of_time='year', specific_time='2025-01-01')"
Bạn giúp tôi so sánh các nhiệm vụ này nhé ba tháng gần đây.,"compare(departments='employee', content='task', id='task_877', type_of_time='range', specific_time='2025-06-07 to 2025-06-26')"
Bạn có thể cho biết dự đoán của nhiệm vụ không? từ đầu tháng đến nay.,"predict(departments='hr', content='task', id='task_121', type_of_time='range', specific_time='2025-06-05 to 2025-06-14')"
Bạn có thể giúp tôi thêm chấm công không?,"add(departments='accountant', content='attendance', id='attendance_474', type_of_time='range', specific_time='2025-05-19 to 2025-06-03')"
Mình muốn biết tình hình nhân viên năm ngoái.,"get(departments='accountant', content='employee', id='employee_314', type_of_time='year', specific_time='2025-01-01')"
Tôi muốn xóa nhiệm vụ.,"delete(departments='employee', content='task', id='task_696', type_of_time='day', specific_time='2024-06-23')"
Bạn giúp tôi so sánh các nghỉ phép này nhé hôm nay.,"compare(departments='employee', content='leave_request', id='leave_request_725', type_of_time='day', specific_time='2025-05-02')"
Bạn có thể dự đoán báo cáo giúp tôi không? tháng trước.,"predict(departments='hr', content='report', id='report_276', type_of_time='month', specific_time='2025-06-01')"
Tôi muốn đăng ký dự án.,"add(departments='hr', content='project', id='project_682', type_of_time='year', specific_time='2025-01-01')"
Bạn kiểm tra giúp tôi nhân viên nhé năm tới.,"get(departments='hr', content='employee', id='employee_562', type_of_time='year', specific_time='2025-01-01')"
Mình muốn loại bỏ chấm công khỏi hệ thống.,"delete(departments='employee', content='attendance', id='attendance_232', type_of_time='year', specific_time='2025-01-01')"
Mình cần so sánh tình trạng chấm công tháng trước.,"compare(departments='manager', content='attendance', id='attendance_533', type_of_time='month', specific_time='2025-06-01')"
Bạn có thể dự đoán nhiệm vụ giúp tôi không? năm nay.,"predict(departments='employee', content='task', id='task_949', type_of_time='year', specific_time='2025-01-01')"
Tôi muốn đăng ký dự án.,"add(departments='accountant', content='project', id='project_788', type_of_time='year', specific_time='2025-01-01')"
Cho tôi biết về chấm công được không? hôm nay.,"get(departments='finance', content='attendance', id='attendance_158', type_of_time='day', specific_time='2025-03-16')"
Bạn có thể xóa hiệu suất giùm tôi không?,"delete(departments='finance', content='performance', id='performance_811', type_of_time='range', specific_time='2025-05-24 to 2025-06-12')"
Bạn giúp tôi so sánh các báo cáo này nhé năm tới.,"compare(departments='manager', content='report', id='report_52', type_of_time='year', specific_time='2025-01-01')"
Bạn có thể dự đoán dự án giúp tôi không? năm 2024.,"predict(departments='accountant', content='project', id='project_903', type_of_time='year', specific_time='2025-01-01')"
Tôi muốn đăng ký hiệu suất.,"add(departments='accountant', content='performance', id='performance_386', type_of_time='month', specific_time='2025-06-01')"
Cho tôi biết về hiệu suất được không? ngày mai.,"get(departments='manager', content='performance', id='performance_767', type_of_time='day', specific_time='2024-07-22')"
Tôi muốn xóa hóa đơn.,"delete(departments='hr', content='invoice', id='invoice_788', type_of_time='range', specific_time='2025-05-13 to 2025-05-26')"
So sánh các hiệu suất giúp tôi với tháng 12 năm ngoái.,"compare(departments='manager', content='performance', id='performance_168', type_of_time='month', specific_time='2025-06-01')"
Bạn có thể cho biết dự đoán của hóa đơn không? năm 2024.,"predict(departments='employee', content='invoice', id='invoice_624', type_of_time='year', specific_time='2025-01-01')"
Bạn có thể giúp tôi thêm hiệu suất không?,"add(departments='employee', content='performance', id='performance_632', type_of_time='year', specific_time='2025-01-01')"
Tôi muốn xem thông tin nhân viên ngày 1 tháng 6.,"get(departments='finance', content='employee', id='employee_708', type_of_time='day', specific_time='2025-01-23')"
Tôi cần hủy chấm công.,"delete(departments='accountant', content='attendance', id='attendance_890', type_of_time='month', specific_time='2025-06-01')"
So sánh các báo cáo giúp tôi với ngày 15 tháng 5.,"compare(departments='finance', content='report', id='report_739', type_of_time='day', specific_time='2024-12-30')"
Bạn có thể cho biết dự đoán của báo cáo không? năm nay.,"predict(departments='hr', content='report', id='report_393', type_of_time='year', specific_time='2025-01-01')"
Làm ơn thêm một nhiệm vụ mới giúp tôi.,"add(departments='manager', content='task', id='task_885', type_of_time='year', specific_time='2025-01-01')"
Tôi cần tra cứu báo cáo năm nay.,"get(departments='manager', content='report', id='report_384', type_of_time='year', specific_time='2025-01-01')"
Bạn có thể xóa chấm công giùm tôi không?,"delete(departments='hr', content='attendance', id='attendance_730', type_of_time='range', specific_time='2025-05-16 to 2025-06-02')"
Mình cần so sánh tình trạng hóa đơn tháng 5 năm nay.,"compare(departments='finance', content='invoice', id='invoice_125', type_of_time='month', specific_time='2025-06-01')"
Bạn có thể dự đoán chấm công giúp tôi không? trong quý trước.,"predict(departments='hr', content='attendance', id='attendance_452', type_of_time='range', specific_time='2025-05-18 to 2025-05-25')"
Tôi muốn đăng ký dự án.,"add(departments='hr', content='project', id='project_777', type_of_time='day', specific_time='2024-12-03')"
Cho tôi biết về chấm công được không? tháng 6.,"get(departments='manager', content='attendance', id='attendance_490', type_of_time='month', specific_time='2025-06-01')"
Bạn có thể xóa chấm công giùm tôi không?,"delete(departments='hr', content='attendance', id='attendance_884', type_of_time='year', specific_time='2025-01-01')"
Tôi muốn đối chiếu hiệu suất hôm nay.,"compare(departments='finance', content='performance', id='performance_193', type_of_time='day', specific_time='2024-06-28')"
Bạn có thể dự đoán hóa đơn giúp tôi không? tháng 6.,"predict(departments='employee', content='invoice', id='invoice_561', type_of_time='month', specific_time='2025-06-01')"
Tôi muốn thêm nhiệm vụ.,"add(departments='employee', content='task', id='task_772', type_of_time='year', specific_time='2025-01-01')"
Tôi muốn xem thông tin hiệu suất ngày 1 tháng 6.,"get(departments='finance', content='performance', id='performance_131', type_of_time='day', specific_time='2025-05-28')"
Tôi cần hủy nhiệm vụ.,"delete(departments='accountant', content='task', id='task_979', type_of_time='month', specific_time='2025-06-01')"
Mình cần so sánh tình trạng dự án năm nay.,"compare(departments='manager', content='project', id='project_47', type_of_time='year', specific_time='2025-01-01')"
Mình cần ước tính nhiệm vụ trong thời gian tới ba tháng gần đây.,"predict(departments='hr', content='task', id='task_738', type_of_time='range', specific_time='2025-05-23 to 2025-06-15')"
Tôi muốn thêm dự án.,"add(departments='finance', content='project', id='project_511', type_of_time='month', specific_time='2025-06-01')"
Tôi cần tra cứu nghỉ phép tháng 12 năm ngoái.,"get(departments='manager', content='leave_request', id='leave_request_272', type_of_time='month', specific_time='2025-06-01')"
Làm ơn gỡ bỏ báo cáo này giúp tôi.,"delete(departments='hr', content='report', id='report_121', type_of_time='range', specific_time='2025-05-30 to 2025-06-21')"
Tôi muốn đối chiếu nghỉ phép từ đầu tháng đến nay.,"compare(departments='hr', content='leave_request', id='leave_request_387', type_of_time='range', specific_time='2025-05-30 to 2025-06-21')"
Bạn có thể dự đoán nhân viên giúp tôi không? năm ngoái.,"predict(departments='hr', content='employee', id='employee_272', type_of_time='year', specific_time='2025-01-01')"
Tôi muốn thêm nhân viên.,"add(departments='manager', content='employee', id='employee_247', type_of_time='day', specific_time='2025-01-01')"
Tôi cần tra cứu hiệu suất tháng trước.,"get(departments='accountant', content='performance', id='performance_892', type_of_time='month', specific_time='2025-06-01')"
Mình muốn loại bỏ báo cáo khỏi hệ thống.,"delete(departments='accountant', content='report', id='report_343', type_of_time='month', specific_time='2025-06-01')"
Tôi muốn biết sự khác biệt giữa các nghỉ phép năm 2025.,"compare(departments='employee', content='leave_request', id='leave_request_408', type_of_time='year', specific_time='2025-01-01')"
Mình cần ước tính dự án trong thời gian tới ba tháng gần đây.,"predict(departments='manager', content='project', id='project_156', type_of_time='range', specific_time='2025-05-24 to 2025-06-16')"
Làm ơn thêm một nhân viên mới giúp tôi.,"add(departments='hr', content='employee', id='employee_921', type_of_time='month', specific_time='2025-06-01')"
Cho tôi biết về hóa đơn được không? hôm qua.,"get(departments='manager', content='invoice', id='invoice_417', type_of_time='day', specific_time='2025-01-27')"
Bạn có thể xóa hóa đơn giùm tôi không?,"delete(departments='accountant', content='invoice', id='invoice_941', type_of_time='day', specific_time='2024-07-31')"
Tôi muốn đối chiếu nhiệm vụ hôm nay.,"compare(departments='employee', content='task', id='task_728', type_of_time='day', specific_time='2024-10-18')"
Cho tôi dự đoán về hóa đơn năm ngoái.,"predict(departments='finance', content='invoice', id='invoice_94', type_of_time='year', specific_time='2025-01-01')"
Mình cần tạo mới một hóa đơn.,"add(departments='manager', content='invoice', id='invoice_963', type_of_time='year', specific_time='2025-01-01')"
Tôi cần tra cứu báo cáo ngày mai.,"get(departments='hr', content='report', id='report_562', type_of_time='day', specific_time='2024-07-13')"
Mình muốn loại bỏ nhiệm vụ khỏi hệ thống.,"delete(departments='accountant', content='task', id='task_50', type_of_time='range', specific_time='2025-05-22 to 2025-05-27')"
So sánh các nhiệm vụ giúp tôi với năm nay.,"compare(departments='hr', content='task', id='task_105', type_of_time='year', specific_time='2025-01-01')"
Tôi muốn biết dự báo về chấm công tháng trước.,"predict(departments='hr', content='attendance', id='attendance_891', type_of_time='month', specific_time='2025-06-01')"
Mình cần tạo mới một dự án.,"add(departments='accountant', content='project', id='project_679', type_of_time='year', specific_time='2025-01-01')"
Bạn kiểm tra giúp tôi nhân viên nhé năm nay.,"get(departments='hr', content='employee', id='employee_644', type_of_time='year', specific_time='2025-01-01')"
Làm ơn gỡ bỏ nghỉ phép này giúp tôi.,"delete(departments='manager', content='leave_request', id='leave_request_632', type_of_time='day', specific_time='2024-08-18')"
Tôi muốn đối chiếu nhân viên ngày mai.,"compare(departments='accountant', content='employee', id='employee_167', type_of_time='day', specific_time='2025-03-30')"
Bạn có thể dự đoán nhiệm vụ giúp tôi không? ngày mai.,"predict(departments='finance', content='task', id='task_550', type_of_time='day', specific_time='2025-05-06')"
Bạn có thể giúp tôi thêm chấm công không?,"add(departments='manager', content='attendance', id='attendance_528', type_of_time='year', specific_time='2025-01-01')"
Mình muốn biết tình hình nhiệm vụ hai tuần qua.,"get(departments='accountant', content='task', id='task_72', type_of_time='range', specific_time='2025-05-12 to 2025-05-23')"
Tôi cần hủy báo cáo.,"delete(departments='manager', content='report', id='report_482', type_of_time='day', specific_time='2024-12-30')"
Mình cần so sánh tình trạng báo cáo hai tuần qua.,"compare(departments='hr', content='report', id='report_588', type_of_time='range', specific_time='2025-05-29 to 2025-05-31')"
Mình cần ước tính nhân viên trong thời gian tới ngày 15 tháng 5.,"predict(departments='accountant', content='employee', id='employee_518', type_of_time='day', specific_time='2025-02-03')"
Bạn có thể giúp tôi thêm chấm công không?,"add(departments='accountant', content='attendance', id='attendance_382', type_of_time='month', specific_time='2025-06-01')"
Tôi cần tra cứu dự án năm nay.,"get(departments='employee', content='project', id='project_683', type_of_time='year', specific_time='2025-01-01')"
Bạn có thể xóa nhân viên giùm tôi không?,"delete(departments='accountant', content='employee', id='employee_854', type_of_time='range', specific_time='2025-05-30 to 2025-06-25')"
Tôi muốn đối chiếu hóa đơn ngày mai.,"compare(departments='employee', content='invoice', id='invoice_441', type_of_time='day', specific_time='2025-03-06')"
Bạn có thể cho biết dự đoán của chấm công không? năm ngoái.,"predict(departments='hr', content='attendance', id='attendance_417', type_of_time='year', specific_time='2025-01-01')"
Mình cần tạo mới một dự án.,"add(departments='employee', content='project', id='project_106', type_of_time='range', specific_time='2025-05-12 to 2025-05-26')"
Mình muốn biết tình hình dự án tháng 6.,"get(departments='accountant', content='project', id='project_548', type_of_time='month', specific_time='2025-06-01')"
Tôi muốn xóa chấm công.,"delete(departments='finance', content='attendance', id='attendance_924', type_of_time='range', specific_time='2025-06-08 to 2025-06-24')"
So sánh các hiệu suất giúp tôi với tháng 6.,"compare(departments='employee', content='performance', id='performance_737', type_of_time='month', specific_time='2025-06-01')"
Bạn có thể dự đoán hiệu suất giúp tôi không? hai tuần qua.,"predict(departments='hr', content='performance', id='performance_929', type_of_time='range', specific_time='2025-05-22 to 2025-06-11')"
Làm ơn thêm một hiệu suất mới giúp tôi.,"add(departments='hr', content='performance', id='performance_739', type_of_time='year', specific_time='2025-01-01')"
Tôi cần tra cứu nghỉ phép năm nay.,"get(departments='manager', content='leave_request', id='leave_request_448', type_of_time='year', specific_time='2025-01-01')"
